Type;Registry Designator;Item Designator;Ver;Reference Name;Description;Standard(s);;Deprecated
Nrm;Normative;Normative;Nrm;Normative;Normative;Normative;Notes;Nrm
Node or Leaf;Note: Byte 8 is the version number of the registry at the point of Label registration;;;;;(where applicable);;
Node;06.0E.2B.34.04.01.01.0B;04.02.02.10.01.0A.00.00;0B;SMPTE-2035 Multi-Channel Channel Non-PCM Audio;Identifies SMPTE-2035 Multi-Channel Channel Non-PCM Audio   ;SMPTE ST 2035;;
Leaf;06.0E.2B.34.04.01.01.0B;04.02.02.10.01.0A.01.00;0B;SMPTE-2035 Multi-Channel Channel Non-PCM 10a;Identifies SMPTE-2035 Multi-Channel Channel Non-PCM 10a   ;SMPTE ST 2035;;
Node;06.0E.2B.34.04.01.01.0B;04.02.02.10.01.0B.00.00;0B;SMPTE-2035 Multi-Channel Program Combo Configurations;Identifies SMPTE-2035 Multi-Channel Program Combo Configurations   ;SMPTE ST 2035;;
Leaf;06.0E.2B.34.04.01.01.0B;04.02.02.10.01.0B.01.00;0B;SMPTE-2035 Multi-Channel Program Combo 11a;Identifies SMPTE-2035 Multi-Channel Program Combo 11a   ;SMPTE ST 2035;;
Leaf;06.0E.2B.34.04.01.01.0B;04.02.02.10.01.0B.02.00;0B;SMPTE-2035 Multi-Channel Program Combo 11b;Identifies SMPTE-2035 Multi-Channel Program Combo 11b   ;SMPTE ST 2035;;
Leaf;06.0E.2B.34.04.01.01.0B;04.02.02.10.01.0B.03.00;0B;SMPTE-2035 Multi-Channel Program Combo 11c;Identifies SMPTE-2035 Multi-Channel Program Combo 11c   ;SMPTE ST 2035;;
Leaf;06.0E.2B.34.04.01.01.0B;04.02.02.10.01.0B.04.00;0B;SMPTE-2035 Multi-Channel Program Combo 11d;Identifies SMPTE-2035 Multi-Channel Program Combo 11d   ;SMPTE ST 2035;;
Leaf;06.0E.2B.34.04.01.01.0B;04.02.02.10.01.0B.05.00;0B;SMPTE-2035 Multi-Channel Program Combo 11e;Identifies SMPTE-2035 Multi-Channel Program Combo 11e   ;SMPTE ST 2035;;
Leaf;06.0E.2B.34.04.01.01.0B;04.02.02.10.01.0B.06.00;0B;SMPTE-2035 Multi-Channel Program Combo 11f;Identifies SMPTE-2035 Multi-Channel Program Combo 11f   ;SMPTE ST 2035;;
Leaf;06.0E.2B.34.04.01.01.0B;04.02.02.10.01.0B.07.00;0B;SMPTE-2035 Multi-Channel Program Combo 11g;Identifies SMPTE-2035 Multi-Channel Program Combo 11g   ;SMPTE ST 2035;;
Leaf;06.0E.2B.34.04.01.01.0B;04.02.02.10.01.0B.08.00;0B;SMPTE-2035 Multi-Channel Program Combo 11h;Identifies SMPTE-2035 Multi-Channel Program Combo 11h   ;SMPTE ST 2035;;
Leaf;06.0E.2B.34.04.01.01.0B;04.02.02.10.01.0B.09.00;0B;SMPTE-2035 Multi-Channel Program Combo 11i;Identifies SMPTE-2035 Multi-Channel Program Combo 11i   ;SMPTE ST 2035;;
Node;06.0E.2B.34.04.01.01.0B;04.02.02.10.01.0C.00.00;0B;SMPTE-2035 Dual Stereo Multi-Channel Configurations;Identifies SMPTE-2035 Dual Stereo Multi-Channel Configurations   ;SMPTE ST 2035;;
Leaf;06.0E.2B.34.04.01.01.0B;04.02.02.10.01.0C.01.00;0B;SMPTE-2035 Dual Stereo Multi-Channel 12a;Identifies SMPTE-2035 Dual Stereo Multi-Channel 12a   ;SMPTE ST 2035;;
Node;06.0E.2B.34.04.01.01.0B;04.02.02.10.01.0D.00.00;0B;SMPTE-2035 12-Track Program Type Configurations;Identifies SMPTE-2035 12-Track Program Type Configurations   ;SMPTE ST 2035;;
Leaf;06.0E.2B.34.04.01.01.0B;04.02.02.10.01.0D.01.00;0B;SMPTE-2035 12-Track Stereo Programs Plus Multi-Channel Program 13a;Identifies SMPTE-2035 12-Track Stereo Programs Plus Multi-Channel Program 13a;SMPTE ST 2035;;
Leaf;06.0E.2B.34.04.01.01.0B;04.02.02.10.01.0D.02.00;0B;SMPTE-2035 12-Track Stereo Dual-Language Programs Plus Multi-Channel-Program 13b;Identifies SMPTE-2035 12-Track Stereo Dual-Language Programs Plus Multi-Channel-Program 13b;SMPTE ST 2035;;
Leaf;06.0E.2B.34.04.01.01.0B;04.02.02.10.01.0D.03.00;0B;SMPTE-2035 12-Track Stereo Dual-Language Programs Plus Multi-Channel-Coded-Audio 13c;Identifies SMPTE-2035 12-Track Stereo Dual-Language Programs Plus Multi-Channel-Coded-Audio 13c;SMPTE ST 2035;;
Node;06.0E.2B.34.04.01.01.09;04.02.02.10.02.00.00.00;09;Sound Channel Labeling SMPTE320M;Identifies Sound Channel Labeling according to SMPTE320M;;SMPTE ST 320 has been withdrawn;Deprecated
Leaf;06.0E.2B.34.04.01.01.09;04.02.02.10.02.01.00.00;09;SMPTE-320M 8-Channel ModeA;Identifies SMPTE-320M 8-Channel ModeA;SMPTE ST 320;;Deprecated
Leaf;06.0E.2B.34.04.01.01.09;04.02.02.10.02.02.00.00;09;SMPTE-320M 8-Channel ModeB;Identifies SMPTE-320M 8-Channel ModeB;SMPTE ST 320;;Deprecated
Node;06.0E.2B.34.04.01.01.0B;04.02.02.10.03.00.00.00;0B;Sound Channel Labeling SMPTE 429-2;Identifies Sound Channel Labeling according to SMPTE 429-2;;;
Node;06.0E.2B.34.04.01.01.0B;04.02.02.10.03.01.00.00;0B;Sound Channel Labeling SMPTE 429-2 Sets-1;Identifies Sound Channel Labeling;;;
Leaf;06.0E.2B.34.04.01.01.0B;04.02.02.10.03.01.01.00;0B;SMPTE-429-2 Channel Configuration 1;Identifies SMPTE-429-2 Channel Configuration 1;SMPTE ST 429-2;;
Leaf;06.0E.2B.34.04.01.01.0B;04.02.02.10.03.01.02.00;0B;SMPTE-429-2 Channel Configuration 2;Identifies SMPTE-429-2 Channel Configuration 2;SMPTE ST 429-2;;
Leaf;06.0E.2B.34.04.01.01.0B;04.02.02.10.03.01.03.00;0B;SMPTE-429-2 Channel Configuration 3;Identifies SMPTE-429-2 Channel Configuration 3;SMPTE ST 429-2;;
Leaf;06.0E.2B.34.04.01.01.0B;04.02.02.10.03.01.04.00;0B;SMPTE-429-2 Channel Configuration 4;Identifies SMPTE-429-2 Channel Configuration 4;;;
Leaf;06.0E.2B.34.04.01.01.0B;04.02.02.10.03.01.05.00;0B;SMPTE-429-2 Channel Configuration 5;Identifies SMPTE-429-2 Channel Configuration 5;;;
Node;06.0E.2B.34.04.01.01.01;04.03.00.00.00.00.00.00;01;Data Essence;Identifies data essence parameters;;;
Node;06.0E.2B.34.04.01.01.01;04.04.00.00.00.00.00.00;01;Metadata;Identifies metadata parameters;;;
Node;06.0E.2B.34.04.01.01.01;04.04.01.00.00.00.00.00;01;Fundamental Metadata Characteristics;Identifies fundamental metadata parameters;;;
Node;06.0E.2B.34.04.01.01.01;04.04.01.01.00.00.00.00;01;Static Metadata;Identifies static metadata parameters;;;
Node;06.0E.2B.34.04.01.01.01;04.04.01.02.00.00.00.00;01;Dynamic Metadata;Identifies dynamic metadata parameters;;;
Node;06.0E.2B.34.04.01.01.01;04.04.01.02.01.00.00.00;01;Repetitive Timing Metadata;Identifies repetitive timing metadata;;;
Node;06.0E.2B.34.04.01.01.01;04.04.01.02.01.01.00.00;01;SMPTE-12M Inactive User Bits;Identifies SMPTE 12M timecode with inactive user bits;;;
Leaf;06.0E.2B.34.04.01.01.01;04.04.01.02.01.01.01.00;01;SMPTE-12M 23.98fps Inactive User Bits Drop Frame Inactive;Identifies SMPTE-12M timecode at 23.98fps with Inactive User Bits and Drop Frame Inactive;SMPTE ST 12-1;;
Leaf;06.0E.2B.34.04.01.01.01;04.04.01.02.01.01.01.01;01;SMPTE-12M 23.98fps Inactive User Bits Drop Frame Active;Identifies SMPTE-12M timecode at 23.98fps with Inactive User Bits and Drop Frame Active;SMPTE ST 12-1;;
Leaf;06.0E.2B.34.04.01.01.01;04.04.01.02.01.01.02.00;01;SMPTE-12M 24fps Inactive User Bits No Drop Frame;Identifies SMPTE-12M timecode at 24fps with Inactive User Bits and No Drop Frame;SMPTE ST 12-1;;
Leaf;06.0E.2B.34.04.01.01.01;04.04.01.02.01.01.03.00;01;SMPTE-12M 25fps Inactive User Bits No Drop Frame;Identifies SMPTE-12M timecode at 25fps with Inactive User Bits and No Drop Frame;SMPTE ST 12-1;;
Leaf;06.0E.2B.34.04.01.01.01;04.04.01.02.01.01.04.00;01;SMPTE-12M 29.97fps Inactive User Bits Drop Frame Inactive;Identifies SMPTE-12M timecode at 29.97fps with Inactive User Bits and Drop Frame Inactive;SMPTE ST 12-1;;
Leaf;06.0E.2B.34.04.01.01.01;04.04.01.02.01.01.04.01;01;SMPTE-12M 29.97fps Inactive User Bits Drop Frame Active;Identifies SMPTE-12M timecode at 29.97fps with Inactive User Bits and Drop Frame Active;SMPTE ST 12-1;;
Leaf;06.0E.2B.34.04.01.01.01;04.04.01.02.01.01.05.00;01;SMPTE-12M 30fps Inactive User Bits No Drop Frame;Identifies SMPTE-12M timecode at 30fps with Inactive User Bits and No Drop Frame;SMPTE ST 12-1;;
Node;06.0E.2B.34.04.01.01.01;04.04.01.02.01.02.00.00;01;SMPTE-12M Active User Bits;Identifies SMPTE 12M timecode with active user bits;;;
Leaf;06.0E.2B.34.04.01.01.01;04.04.01.02.01.02.01.00;01;SMPTE-12M 23.98fps Active User Bits Drop Frame Inactive;Identifies SMPTE-12M timecode at 23.98fps with Active User Bits and Drop Frame Inactive;SMPTE ST 12-1;;
Leaf;06.0E.2B.34.04.01.01.01;04.04.01.02.01.02.01.01;01;SMPTE-12M 23.98fps Active User Bits Drop Frame Active;Identifies SMPTE-12M timecode at 23.98fps with Active User Bits and Drop Frame Active;SMPTE ST 12-1;;
Leaf;06.0E.2B.34.04.01.01.01;04.04.01.02.01.02.02.00;01;SMPTE-12M 24fps Active User Bits No Drop Frame;Identifies SMPTE-12M timecode at 24fps with Active User Bits and No Drop Frame;SMPTE ST 12-1;;
Leaf;06.0E.2B.34.04.01.01.01;04.04.01.02.01.02.03.00;01;SMPTE-12M 25fps Active User Bits No Drop Frame;Identifies SMPTE-12M timecode at 25fps with Active User Bits and No Drop Frame;SMPTE ST 12-1;;
Leaf;06.0E.2B.34.04.01.01.01;04.04.01.02.01.02.04.00;01;SMPTE-12M 29.97fps Active User Bits Drop Frame Inactive;Identifies SMPTE-12M timecode at 29.97fps with Active User Bits and Drop Frame Inactive;SMPTE ST 12-1;;
Leaf;06.0E.2B.34.04.01.01.01;04.04.01.02.01.02.04.01;01;SMPTE-12M 29.97fps Active User Bits Drop Frame Active;Identifies SMPTE-12M timecode at 29.97fps with Active User Bits and Drop Frame Active;SMPTE ST 12-1;;
Leaf;06.0E.2B.34.04.01.01.01;04.04.01.02.01.02.05.00;01;SMPTE-12M 30fps Active User Bits No Drop Frame;Identifies SMPTE-12M timecode at 30fps with Active User Bits and No Drop Frame;SMPTE ST 12-1;;
Node;06.0E.2B.34.04.01.01.01;04.04.01.02.01.03.00.00;01;SMPTE-12M Datecode User Bits;Identifies SMPTE 12M timecode with datecode user bits;;;
Leaf;06.0E.2B.34.04.01.01.01;04.04.01.02.01.03.01.00;01;SMPTE-12M 23.98fps Datecode User Bits Drop Frame Inactive;Identifies SMPTE-12M timecode at 23.98fps with Datecode User Bits and Drop Frame Inactive;SMPTE ST 12-1;;
Leaf;06.0E.2B.34.04.01.01.01;04.04.01.02.01.03.01.01;01;SMPTE-12M 23.98fps Datecode User Bits Drop Frame Active;Identifies SMPTE-12M timecode at 23.98fps with Datecode User Bits and Drop Frame Active;SMPTE ST 12-1;;
Leaf;06.0E.2B.34.04.01.01.01;04.04.01.02.01.03.02.00;01;SMPTE-12M 24fps Datecode User Bits No Drop Frame;Identifies SMPTE-12M timecode at 24fps with Datecode User Bits and No Drop Frame;SMPTE ST 12-1;;
Leaf;06.0E.2B.34.04.01.01.01;04.04.01.02.01.03.03.00;01;SMPTE-12M 25fps Datecode User Bits No Drop Frame;Identifies SMPTE-12M timecode at 25fps with Datecode User Bits and No Drop Frame;SMPTE ST 12-1;;
Leaf;06.0E.2B.34.04.01.01.01;04.04.01.02.01.03.04.00;01;SMPTE-12M 29.97fps Datecode User Bits Drop Frame Inactive;Identifies SMPTE-12M timecode at 29.97fps with Datecode User Bits and Drop Frame Inactive;SMPTE ST 12-1;;
Leaf;06.0E.2B.34.04.01.01.01;04.04.01.02.01.03.04.01;01;SMPTE-12M 29.97fps Datecode User Bits Drop Frame Active;Identifies SMPTE-12M timecode at 29.97fps with Datecode User Bits and Drop Frame Active;SMPTE ST 12-1;;
Leaf;06.0E.2B.34.04.01.01.01;04.04.01.02.01.03.05.00;01;SMPTE-12M 30fps Datecode User Bits No Drop Frame;Identifies SMPTE-12M timecode at 30fps with Datecode User Bits and No Drop Frame;SMPTE ST 12-1;;
Node;06.0E.2B.34.04.01.01.01;04.05.00.00.00.00.00.00;01;Compound Essence;SMPTE Label identifiers for compound essence parameters;;;
Node;06.0E.2B.34.04.01.01.01;04.10.00.00.00.00.00.00;01;General Data;SMPTE Label identifiers for general data parameters (neither essence nor metadata);;;
Node;06.0E.2B.34.04.01.01.01;05.00.00.00.00.00.00.00;01;PROCESS;SMPTE Label identifiers for Process Data;;;
Node;06.0E.2B.34.04.01.01.0B;05.10.00.00.00.00.00.00;0B;Settings;Identifies Settings       ;;;
Node;06.0E.2B.34.04.01.01.0B;05.10.01.00.00.00.00.00;0B;Device Settings;Identifies Device Settings      ;;;
Node;06.0E.2B.34.04.01.01.0B;05.10.01.01.00.00.00.00;0B;Camera Settings;Identifies Camera Settings      ;;;
Node;06.0E.2B.34.04.01.01.0B;05.10.01.01.01.00.00.00;0B;Exposure Settings;Identifies Exposure Settings      ;;;
Leaf;06.0E.2B.34.04.01.01.0B;05.10.01.01.01.01.00.00;0B;Manual Exposure;Identifies Manual Exposure      ;SMPTE RDD 18;;
Leaf;06.0E.2B.34.04.01.01.0B;05.10.01.01.01.02.00.00;0B;Full Auto Exposure;Identifies Full Auto Exposure     ;SMPTE RDD 18;;
Leaf;06.0E.2B.34.04.01.01.0B;05.10.01.01.01.03.00.00;0B;Gain Priority Auto Exposure;Identifies Gain Priority Auto Exposure    ;SMPTE RDD 18;;
Leaf;06.0E.2B.34.04.01.01.0B;05.10.01.01.01.04.00.00;0B;Iris Priority Auto Exposure;Identifies Iris Priority Auto Exposure    ;SMPTE RDD 18;;
Leaf;06.0E.2B.34.04.01.01.0B;05.10.01.01.01.05.00.00;0B;Shutter Priority Auto Exposure;Identifies Shutter Priority Auto Exposure    ;SMPTE RDD 18;;
Node;06.0E.2B.34.04.01.01.01;06.00.00.00.00.00.00.00;01;RELATIONAL;SMPTE Label identifiers for Relational Data;;;
Node;06.0E.2B.34.04.01.01.01;07.00.00.00.00.00.00.00;01;SPATIO-TEMPORAL;SMPTE Label identifiers for Spatio-Temporal Data;;;
Node;06.0E.2B.34.04.01.01.01;0C.00.00.00.00.00.00.00;01;COMPOUND;SMPTE Label identifiers for Compound Data;;;
Node;06.0E.2B.34.04.01.01.01;0D.00.00.00.00.00.00.00;01;USER ORGANIZATION PUBLIC;SMPTE Label identifiers for Organizations that are registered for public use;;;
Node;06.0E.2B.34.04.01.01.01;0D.01.00.00.00.00.00.00;01;Public User Organization AAF-Association;SMPTE Label identifiers registered by the AAF Association for public use;;;
Node;06.0E.2B.34.04.01.01.01;0D.01.01.00.00.00.00.00;01;AAF Structural Metadata;Identifiers for AAF/MXF Structural Metadata;;;
Node;06.0E.2B.34.04.01.01.01;0D.01.02.00.00.00.00.00;01;MXF Operational Pattern Application;Identifiers for MXF Operational Patterns;;;
Node;06.0E.2B.34.04.01.01.01;0D.01.02.01.00.00.00.00;01;MXF OP Structure Version;Identifiers for MXF OPs with Structure Version 1;;;
Node;06.0E.2B.34.04.01.01.01;0D.01.02.01.01.00.00.00;01;MXF OP1x SingleItem AnyPackage;Identifiers for MXF OP1x, SingleItem AnyPackage;;;
Node;06.0E.2B.34.04.01.01.01;0D.01.02.01.01.01.00.00;01;MXF OP1a SingleItem SinglePackage;Identifiers for MXF: OP1a, SingleItem SinglePackage;;;
Leaf;06.0E.2B.34.04.01.01.01;0D.01.02.01.01.01.01.00;01;MXF OP1a SingleItem SinglePackage UniTrack Stream Internal;Identifier for MXF OP1a SingleItem SinglePackage, with UniTrack Stream and Internal essence constraints;SMPTE ST 378;;
Leaf;06.0E.2B.34.04.01.01.01;0D.01.02.01.01.01.03.00;01;MXF OP1a SingleItem SinglePackage UniTrack Stream External;Identifier for MXF OP1a SingleItem SinglePackage, with UniTrack Stream and External essence constraints;SMPTE ST 378;;
Leaf;06.0E.2B.34.04.01.01.01;0D.01.02.01.01.01.05.00;01;MXF OP1a SingleItem SinglePackage UniTrack NonStream Internal;Identifier for MXF OP1a SingleItem SinglePackage, with UniTrack NonStream and Internal essence constraints;SMPTE ST 378;;
Leaf;06.0E.2B.34.04.01.01.01;0D.01.02.01.01.01.07.00;01;MXF OP1a SingleItem SinglePackage UniTrack NonStream External;Identifier for MXF OP1a SingleItem SinglePackage, with UniTrack NonStream and External essence constraints;SMPTE ST 378;;
Leaf;06.0E.2B.34.04.01.01.01;0D.01.02.01.01.01.09.00;01;MXF OP1a SingleItem SinglePackage MultiTrack Stream Internal;Identifier for MXF OP1a SingleItem SinglePackage, with MultiTrack Stream and Internal essence constraints;SMPTE ST 378;;
Leaf;06.0E.2B.34.04.01.01.01;0D.01.02.01.01.01.0B.00;01;MXF OP1a SingleItem SinglePackage MultiTrack Stream External;Identifier for MXF OP1a SingleItem SinglePackage, with MultiTrack Stream and External essence constraints;SMPTE ST 378;;
Leaf;06.0E.2B.34.04.01.01.01;0D.01.02.01.01.01.0D.00;01;MXF OP1a SingleItem SinglePackage MultiTrack NonStream Internal;Identifier for MXF OP1a SingleItem SinglePackage, with MultiTrack NonStream and Internal essence constraints;SMPTE ST 378;;
Leaf;06.0E.2B.34.04.01.01.01;0D.01.02.01.01.01.0F.00;01;MXF OP1a SingleItem SinglePackage MultiTrack NonStream External;Identifier for MXF OP1a SingleItem SinglePackage, with MultiTrack NonStream and External essence constraints;SMPTE ST 378;;
Node;06.0E.2B.34.04.01.01.01;0D.01.02.01.01.02.00.00;01;MXF OP1b SingleItem GangedPackages;Identifiers for MXF: OP1b, SingleItem GangedPackages;;;
Leaf;06.0E.2B.34.04.01.01.01;0D.01.02.01.01.02.01.00;01;MXF OP1b SingleItem GangedPackages UniTrack Stream Internal;Identifier for MXF OP1b SingleItem GangedPackages, with UniTrack Stream and Internal essence constraints;SMPTE ST 391;;
Leaf;06.0E.2B.34.04.01.01.01;0D.01.02.01.01.02.03.00;01;MXF OP1b SingleItem GangedPackages UniTrack Stream External;Identifier for MXF OP1b SingleItem GangedPackages, with UniTrack Stream and External essence constraints;SMPTE ST 391;;
Leaf;06.0E.2B.34.04.01.01.01;0D.01.02.01.01.02.05.00;01;MXF OP1b SingleItem GangedPackages UniTrack NonStream Internal;Identifier for MXF OP1b SingleItem GangedPackages, with UniTrack NonStream and Internal essence constraints;SMPTE ST 391;;
Leaf;06.0E.2B.34.04.01.01.01;0D.01.02.01.01.02.07.00;01;MXF OP1b SingleItem GangedPackages UniTrack NonStream External;Identifier for MXF OP1b SingleItem GangedPackages, with UniTrack NonStream and External essence constraints;SMPTE ST 391;;
Leaf;06.0E.2B.34.04.01.01.01;0D.01.02.01.01.02.09.00;01;MXF OP1b SingleItem GangedPackages MultiTrack Stream Internal;Identifier for MXF OP1b SingleItem GangedPackages, with MultiTrack Stream and Internal essence constraints;SMPTE ST 391;;
Leaf;06.0E.2B.34.04.01.01.01;0D.01.02.01.01.02.0B.00;01;MXF OP1b SingleItem GangedPackages MultiTrack Stream External;Identifier for MXF OP1b SingleItem GangedPackages, with MultiTrack Stream and External essence constraints;SMPTE ST 391;;
Leaf;06.0E.2B.34.04.01.01.01;0D.01.02.01.01.02.0D.00;01;MXF OP1b SingleItem GangedPackages MultiTrack NonStream Internal;Identifier for MXF OP1b SingleItem GangedPackages, with MultiTrack NonStream and Internal essence constraints;SMPTE ST 391;;
Leaf;06.0E.2B.34.04.01.01.01;0D.01.02.01.01.02.0F.00;01;MXF OP1b SingleItem GangedPackages MultiTrack NonStream External;Identifier for MXF OP1b SingleItem GangedPackages, with MultiTrack NonStream and External essence constraints;SMPTE ST 391;;
Node;06.0E.2B.34.04.01.01.01;0D.01.02.01.01.03.00.00;01;MXF OP1c SingleItem AlternatePackages;Identifiers for MXF: OP1c, SingleItem AlternatePackages;;;
Leaf;06.0E.2B.34.04.01.01.01;0D.01.02.01.01.03.01.00;01;MXF OP1c SingleItem AlternatePackages UniTrack Stream Internal;Identifier for MXF OP1c SingleItem AlternatePackages, with UniTrack Stream and Internal essence constraints;SMPTE ST 408;;
Leaf;06.0E.2B.34.04.01.01.01;0D.01.02.01.01.03.03.00;01;MXF OP1c SingleItem AlternatePackages UniTrack Stream External;Identifier for MXF OP1c SingleItem AlternatePackages, with UniTrack Stream and External essence constraints;SMPTE ST 408;;
Leaf;06.0E.2B.34.04.01.01.01;0D.01.02.01.01.03.05.00;01;MXF OP1c SingleItem AlternatePackages UniTrack NonStream Internal;Identifier for MXF OP1c SingleItem AlternatePackages, with UniTrack NonStream and Internal essence constraints;SMPTE ST 408;;
Leaf;06.0E.2B.34.04.01.01.01;0D.01.02.01.01.03.07.00;01;MXF OP1c SingleItem AlternatePackages UniTrack NonStream External;Identifier for MXF OP1c SingleItem AlternatePackages, with UniTrack NonStream and External essence constraints;SMPTE ST 408;;
Leaf;06.0E.2B.34.04.01.01.01;0D.01.02.01.01.03.09.00;01;MXF OP1c SingleItem AlternatePackages MultiTrack Stream Internal;Identifier for MXF OP1c SingleItem AlternatePackages, with MultiTrack Stream and Internal essence constraints;SMPTE ST 408;;
Leaf;06.0E.2B.34.04.01.01.01;0D.01.02.01.01.03.0B.00;01;MXF OP1c SingleItem AlternatePackages MultiTrack Stream External;Identifier for MXF OP1c SingleItem AlternatePackages, with MultiTrack Stream and External essence constraints;SMPTE ST 408;;
Leaf;06.0E.2B.34.04.01.01.01;0D.01.02.01.01.03.0D.00;01;MXF OP1c SingleItem AlternatePackages MultiTrack NonStream Internal;Identifier for MXF OP1c SingleItem AlternatePackages, with MultiTrack NonStream and Internal essence constraints;SMPTE ST 408;;
Leaf;06.0E.2B.34.04.01.01.01;0D.01.02.01.01.03.0F.00;01;MXF OP1c SingleItem AlternatePackages MultiTrack NonStream External;Identifier for MXF OP1c SingleItem AlternatePackages, with MultiTrack NonStream and External essence constraints;SMPTE ST 408;;
Node;06.0E.2B.34.04.01.01.01;0D.01.02.01.02.00.00.00;01;MXF OP2x PlaylistItems AnyPackage;Identifiers for MXF: OP2x, PlaylistItems AnyPackage;;;
Node;06.0E.2B.34.04.01.01.01;0D.01.02.01.02.01.00.00;01;MXF OP2a PlaylistItems SinglePackage;Identifiers for MXF: OP2a, PlaylistItems SinglePackage;;;
Leaf;06.0E.2B.34.04.01.01.01;0D.01.02.01.02.01.01.00;01;MXF OP2a PlaylistItems SinglePackage UniTrack Stream Internal NoProcessing;Identifier for MXF OP2a PlaylistItems, SinglePackage, with UniTrack, Stream, Internal and NoProcessing essence constraints;SMPTE ST 392;;
Leaf;06.0E.2B.34.04.01.01.01;0D.01.02.01.02.01.01.10;01;MXF OP2a PlaylistItems SinglePackage UniTrack Stream Internal MayProcess;Identifier for MXF OP2a PlaylistItems, SinglePackage, with UniTrack, Stream, Internal and MayProcess essence constraints;SMPTE ST 392;;
Leaf;06.0E.2B.34.04.01.01.01;0D.01.02.01.02.01.03.00;01;MXF OP2a PlaylistItems SinglePackage UniTrack Stream External NoProcessing;Identifier for MXF OP2a PlaylistItems, SinglePackage, with UniTrack, Stream, External and NoProcessing essence constraints;SMPTE ST 392;;
Leaf;06.0E.2B.34.04.01.01.01;0D.01.02.01.02.01.03.10;01;MXF OP2a PlaylistItems SinglePackage UniTrack Stream External MayProcess;Identifier for MXF OP2a PlaylistItems, SinglePackage, with UniTrack, Stream, External and MayProcess essence constraints;SMPTE ST 392;;
Leaf;06.0E.2B.34.04.01.01.01;0D.01.02.01.02.01.05.00;01;MXF OP2a PlaylistItems SinglePackage UniTrack NonStream Internal NoProcessing;Identifier for MXF OP2a PlaylistItems, SinglePackage, with UniTrack, NonStream, Internal and NoProcessing essence constraints;SMPTE ST 392;;
Leaf;06.0E.2B.34.04.01.01.01;0D.01.02.01.02.01.05.10;01;MXF OP2a PlaylistItems SinglePackage UniTrack NonStream Internal MayProcess;Identifier for MXF OP2a PlaylistItems, SinglePackage, with UniTrack, NonStream, Internal and MayProcess essence constraints;SMPTE ST 392;;
Leaf;06.0E.2B.34.04.01.01.01;0D.01.02.01.02.01.07.00;01;MXF OP2a PlaylistItems SinglePackage UniTrack NonStream External NoProcessing;Identifier for MXF OP2a PlaylistItems, SinglePackage, with UniTrack, NonStream, External and NoProcessing essence constraints;SMPTE ST 392;;
Leaf;06.0E.2B.34.04.01.01.01;0D.01.02.01.02.01.07.10;01;MXF OP2a PlaylistItems SinglePackage UniTrack NonStream External MayProcess;Identifier for MXF OP2a PlaylistItems, SinglePackage, with UniTrack, NonStream, External and MayProcess essence constraints;SMPTE ST 392;;
Leaf;06.0E.2B.34.04.01.01.01;0D.01.02.01.02.01.09.00;01;MXF OP2a PlaylistItems SinglePackage MultiTrack Stream Internal NoProcessing;Identifier for MXF OP2a PlaylistItems, SinglePackage, with MultiTrack, Stream, Internal and NoProcessing essence constraints;SMPTE ST 392;;
Leaf;06.0E.2B.34.04.01.01.01;0D.01.02.01.02.01.09.10;01;MXF OP2a PlaylistItems SinglePackage MultiTrack Stream Internal MayProcess;Identifier for MXF OP2a PlaylistItems, SinglePackage, with MultiTrack, Stream, Internal and MayProcess essence constraints;SMPTE ST 392;;
Leaf;06.0E.2B.34.04.01.01.01;0D.01.02.01.02.01.0B.00;01;MXF OP2a PlaylistItems SinglePackage MultiTrack Stream External NoProcessing;Identifier for MXF OP2a PlaylistItems, SinglePackage, with MultiTrack, Stream, External and NoProcessing essence constraints;SMPTE ST 392;;
Leaf;06.0E.2B.34.04.01.01.01;0D.01.02.01.02.01.0B.10;01;MXF OP2a PlaylistItems SinglePackage MultiTrack Stream External MayProcess;Identifier for MXF OP2a PlaylistItems, SinglePackage, with MultiTrack, Stream, External and MayProcess essence constraints;SMPTE ST 392;;
Leaf;06.0E.2B.34.04.01.01.01;0D.01.02.01.02.01.0D.00;01;MXF OP2a PlaylistItems SinglePackage MultiTrack NonStream Internal NoProcessing;Identifier for MXF OP2a PlaylistItems, SinglePackage, with MultiTrack, NonStream, Internal and NoProcessing essence constraints;SMPTE ST 392;;
Leaf;06.0E.2B.34.04.01.01.01;0D.01.02.01.02.01.0D.10;01;MXF OP2a PlaylistItems SinglePackage MultiTrack NonStream Internal MayProcess;Identifier for MXF OP2a PlaylistItems, SinglePackage, with MultiTrack, NonStream, Internal and MayProcess essence constraints;SMPTE ST 392;;
Leaf;06.0E.2B.34.04.01.01.01;0D.01.02.01.02.01.0F.00;01;MXF OP2a PlaylistItems SinglePackage MultiTrack NonStream External NoProcessing;Identifier for MXF OP2a PlaylistItems, SinglePackage, with MultiTrack, NonStream, External and NoProcessing essence constraints;SMPTE ST 392;;
Leaf;06.0E.2B.34.04.01.01.01;0D.01.02.01.02.01.0F.10;01;MXF OP2a PlaylistItems SinglePackage MultiTrack NonStream External MayProcess;Identifier for MXF OP2a PlaylistItems, SinglePackage, with MultiTrack, NonStream, External and MayProcess essence constraints;SMPTE ST 392;;
