Type;Registry Designator;Item Designator;Ver;Reference Name;Description;Standard(s);;Deprecated
Nrm;Normative;Normative;Nrm;Normative;Normative;Normative;Notes;Nrm
Node or Leaf;Note: Byte 8 is the version number of the registry at the point of Label registration;;;;;(where applicable);;
Leaf;06.0E.2B.34.04.01.01.0A;0D.01.03.01.02.10.62.07;0A;MXF-GC  AVC Byte Stream With VideoStream-2 SID CustomClosedGOP-wrapped;Identifier for a MXF-GC  AVC Byte Stream With VideoStream-2 SID CustomClosedGOP-wrapped;SMPTE RP 2008;;
Leaf;06.0E.2B.34.04.01.01.0A;0D.01.03.01.02.10.62.08;0A;MXF-GC  AVC Byte Stream With VideoStream-2 SID CustomSlave-wrapped;Identifier for a MXF-GC  AVC Byte Stream With VideoStream-2 SID CustomSlave-wrapped;SMPTE RP 2008;;
Leaf;06.0E.2B.34.04.01.01.0A;0D.01.03.01.02.10.62.7F;0A;MXF-GC  AVC Byte Stream With VideoStream-2 SID CustomUnconstrained-wrapped;Identifier for a MXF-GC  AVC Byte Stream With VideoStream-2 SID CustomUnconstrained-wrapped;SMPTE RP 2008;;
Node;06.0E.2B.34.04.01.01.0A;0D.01.03.01.02.10.63.00;0A;MXF-GC  AVC Byte Stream With VideoStream-3 SID;Identifier for a MXF-GC  AVC Byte Stream With VideoStream-3 ;;;
Leaf;06.0E.2B.34.04.01.01.0A;0D.01.03.01.02.10.63.01;0A;MXF-GC  AVC Byte Stream With VideoStream-3 SID Frame-wrapped;Identifier for a MXF-GC  AVC Byte Stream With VideoStream-3 SID Frame-wrapped;SMPTE RP 2008;;
Leaf;06.0E.2B.34.04.01.01.0A;0D.01.03.01.02.10.63.02;0A;MXF-GC  AVC Byte Stream With VideoStream-3 SID Clip-wrapped;Identifier for a MXF-GC  AVC Byte Stream With VideoStream-3 SID Clip-wrapped;SMPTE RP 2008;;
Leaf;06.0E.2B.34.04.01.01.0A;0D.01.03.01.02.10.63.03;0A;MXF-GC  AVC Byte Stream With VideoStream-3 SID CustomStripe-wrapped;Identifier for a MXF-GC  AVC Byte Stream With VideoStream-3 SID CustomStripe-wrapped;SMPTE RP 2008;;
Leaf;06.0E.2B.34.04.01.01.0A;0D.01.03.01.02.10.63.05;0A;MXF-GC  AVC Byte Stream With VideoStream-3 SID CustomFixedAudioSize-wrapped;Identifier for a MXF-GC  AVC Byte Stream With VideoStream-3 SID CustomFixedAudioSize-wrapped;SMPTE RP 2008;;
Leaf;06.0E.2B.34.04.01.01.0A;0D.01.03.01.02.10.63.06;0A;MXF-GC  AVC Byte Stream With VideoStream-3 SID CustomSplice-wrapped;Identifier for a MXF-GC  AVC Byte Stream With VideoStream-3 SID CustomSplice-wrapped;SMPTE RP 2008;;
Leaf;06.0E.2B.34.04.01.01.0A;0D.01.03.01.02.10.63.07;0A;MXF-GC  AVC Byte Stream With VideoStream-3 SID CustomClosedGOP-wrapped;Identifier for a MXF-GC  AVC Byte Stream With VideoStream-3 SID CustomClosedGOP-wrapped;SMPTE RP 2008;;
Leaf;06.0E.2B.34.04.01.01.0A;0D.01.03.01.02.10.63.08;0A;MXF-GC  AVC Byte Stream With VideoStream-3 SID CustomSlave-wrapped;Identifier for a MXF-GC  AVC Byte Stream With VideoStream-3 SID CustomSlave-wrapped;SMPTE RP 2008;;
Leaf;06.0E.2B.34.04.01.01.0A;0D.01.03.01.02.10.63.7F;0A;MXF-GC  AVC Byte Stream With VideoStream-3 SID CustomUnconstrained-wrapped;Identifier for a MXF-GC  AVC Byte Stream With VideoStream-3 SID CustomUnconstrained-wrapped;SMPTE RP 2008;;
Node;06.0E.2B.34.04.01.01.0A;0D.01.03.01.02.10.64.00;0A;MXF-GC  AVC Byte Stream With VideoStream-4 SID;Identifier for a MXF-GC  AVC Byte Stream With VideoStream-4 ;;;
Leaf;06.0E.2B.34.04.01.01.0A;0D.01.03.01.02.10.64.01;0A;MXF-GC  AVC Byte Stream With VideoStream-4 SID Frame-wrapped;Identifier for a MXF-GC  AVC Byte Stream With VideoStream-4 SID Frame-wrapped;SMPTE RP 2008;;
Leaf;06.0E.2B.34.04.01.01.0A;0D.01.03.01.02.10.64.02;0A;MXF-GC  AVC Byte Stream With VideoStream-4 SID Clip-wrapped;Identifier for a MXF-GC  AVC Byte Stream With VideoStream-4 SID Clip-wrapped;SMPTE RP 2008;;
Leaf;06.0E.2B.34.04.01.01.0A;0D.01.03.01.02.10.64.03;0A;MXF-GC  AVC Byte Stream With VideoStream-4 SID CustomStripe-wrapped;Identifier for a MXF-GC  AVC Byte Stream With VideoStream-4 SID CustomStripe-wrapped;SMPTE RP 2008;;
Leaf;06.0E.2B.34.04.01.01.0A;0D.01.03.01.02.10.64.05;0A;MXF-GC  AVC Byte Stream With VideoStream-4 SID CustomFixedAudioSize-wrapped;Identifier for a MXF-GC  AVC Byte Stream With VideoStream-4 SID CustomFixedAudioSize-wrapped;SMPTE RP 2008;;
Leaf;06.0E.2B.34.04.01.01.0A;0D.01.03.01.02.10.64.06;0A;MXF-GC  AVC Byte Stream With VideoStream-4 SID CustomSplice-wrapped;Identifier for a MXF-GC  AVC Byte Stream With VideoStream-4 SID CustomSplice-wrapped;SMPTE RP 2008;;
Leaf;06.0E.2B.34.04.01.01.0A;0D.01.03.01.02.10.64.07;0A;MXF-GC  AVC Byte Stream With VideoStream-4 SID CustomClosedGOP-wrapped;Identifier for a MXF-GC  AVC Byte Stream With VideoStream-4 SID CustomClosedGOP-wrapped;SMPTE RP 2008;;
Leaf;06.0E.2B.34.04.01.01.0A;0D.01.03.01.02.10.64.08;0A;MXF-GC  AVC Byte Stream With VideoStream-4 SID CustomSlave-wrapped;Identifier for a MXF-GC  AVC Byte Stream With VideoStream-4 SID CustomSlave-wrapped;SMPTE RP 2008;;
Leaf;06.0E.2B.34.04.01.01.0A;0D.01.03.01.02.10.64.7F;0A;MXF-GC  AVC Byte Stream With VideoStream-4 SID CustomUnconstrained-wrapped;Identifier for a MXF-GC  AVC Byte Stream With VideoStream-4 SID CustomUnconstrained-wrapped;SMPTE RP 2008;;
Node;06.0E.2B.34.04.01.01.0A;0D.01.03.01.02.10.65.00;0A;MXF-GC  AVC Byte Stream With VideoStream-5 SID;Identifier for a MXF-GC  AVC Byte Stream With VideoStream-5 ;;;
Leaf;06.0E.2B.34.04.01.01.0A;0D.01.03.01.02.10.65.01;0A;MXF-GC  AVC Byte Stream With VideoStream-5 SID Frame-wrapped;Identifier for a MXF-GC  AVC Byte Stream With VideoStream-5 SID Frame-wrapped;SMPTE RP 2008;;
Leaf;06.0E.2B.34.04.01.01.0A;0D.01.03.01.02.10.65.02;0A;MXF-GC  AVC Byte Stream With VideoStream-5 SID Clip-wrapped;Identifier for a MXF-GC  AVC Byte Stream With VideoStream-5 SID Clip-wrapped;SMPTE RP 2008;;
Leaf;06.0E.2B.34.04.01.01.0A;0D.01.03.01.02.10.65.03;0A;MXF-GC  AVC Byte Stream With VideoStream-5 SID CustomStripe-wrapped;Identifier for a MXF-GC  AVC Byte Stream With VideoStream-5 SID CustomStripe-wrapped;SMPTE RP 2008;;
Leaf;06.0E.2B.34.04.01.01.0A;0D.01.03.01.02.10.65.05;0A;MXF-GC  AVC Byte Stream With VideoStream-5 SID CustomFixedAudioSize-wrapped;Identifier for a MXF-GC  AVC Byte Stream With VideoStream-5 SID CustomFixedAudioSize-wrapped;SMPTE RP 2008;;
Leaf;06.0E.2B.34.04.01.01.0A;0D.01.03.01.02.10.65.06;0A;MXF-GC  AVC Byte Stream With VideoStream-5 SID CustomSplice-wrapped;Identifier for a MXF-GC  AVC Byte Stream With VideoStream-5 SID CustomSplice-wrapped;SMPTE RP 2008;;
Leaf;06.0E.2B.34.04.01.01.0A;0D.01.03.01.02.10.65.07;0A;MXF-GC  AVC Byte Stream With VideoStream-5 SID CustomClosedGOP-wrapped;Identifier for a MXF-GC  AVC Byte Stream With VideoStream-5 SID CustomClosedGOP-wrapped;SMPTE RP 2008;;
Leaf;06.0E.2B.34.04.01.01.0A;0D.01.03.01.02.10.65.08;0A;MXF-GC  AVC Byte Stream With VideoStream-5 SID CustomSlave-wrapped;Identifier for a MXF-GC  AVC Byte Stream With VideoStream-5 SID CustomSlave-wrapped;SMPTE RP 2008;;
Leaf;06.0E.2B.34.04.01.01.0A;0D.01.03.01.02.10.65.7F;0A;MXF-GC  AVC Byte Stream With VideoStream-5 SID CustomUnconstrained-wrapped;Identifier for a MXF-GC  AVC Byte Stream With VideoStream-5 SID CustomUnconstrained-wrapped;SMPTE RP 2008;;
Node;06.0E.2B.34.04.01.01.0A;0D.01.03.01.02.10.66.00;0A;MXF-GC  AVC Byte Stream With VideoStream-6 SID;Identifier for a MXF-GC  AVC Byte Stream With VideoStream-6 ;;;
Leaf;06.0E.2B.34.04.01.01.0A;0D.01.03.01.02.10.66.01;0A;MXF-GC  AVC Byte Stream With VideoStream-6 SID Frame-wrapped;Identifier for a MXF-GC  AVC Byte Stream With VideoStream-6 SID Frame-wrapped;SMPTE RP 2008;;
Leaf;06.0E.2B.34.04.01.01.0A;0D.01.03.01.02.10.66.02;0A;MXF-GC  AVC Byte Stream With VideoStream-6 SID Clip-wrapped;Identifier for a MXF-GC  AVC Byte Stream With VideoStream-6 SID Clip-wrapped;SMPTE RP 2008;;
Leaf;06.0E.2B.34.04.01.01.0A;0D.01.03.01.02.10.66.03;0A;MXF-GC  AVC Byte Stream With VideoStream-6 SID CustomStripe-wrapped;Identifier for a MXF-GC  AVC Byte Stream With VideoStream-6 SID CustomStripe-wrapped;SMPTE RP 2008;;
Leaf;06.0E.2B.34.04.01.01.0A;0D.01.03.01.02.10.66.05;0A;MXF-GC  AVC Byte Stream With VideoStream-6 SID CustomFixedAudioSize-wrapped;Identifier for a MXF-GC  AVC Byte Stream With VideoStream-6 SID CustomFixedAudioSize-wrapped;SMPTE RP 2008;;
Leaf;06.0E.2B.34.04.01.01.0A;0D.01.03.01.02.10.66.06;0A;MXF-GC  AVC Byte Stream With VideoStream-6 SID CustomSplice-wrapped;Identifier for a MXF-GC  AVC Byte Stream With VideoStream-6 SID CustomSplice-wrapped;SMPTE RP 2008;;
Leaf;06.0E.2B.34.04.01.01.0A;0D.01.03.01.02.10.66.07;0A;MXF-GC  AVC Byte Stream With VideoStream-6 SID CustomClosedGOP-wrapped;Identifier for a MXF-GC  AVC Byte Stream With VideoStream-6 SID CustomClosedGOP-wrapped;SMPTE RP 2008;;
Leaf;06.0E.2B.34.04.01.01.0A;0D.01.03.01.02.10.66.08;0A;MXF-GC  AVC Byte Stream With VideoStream-6 SID CustomSlave-wrapped;Identifier for a MXF-GC  AVC Byte Stream With VideoStream-6 SID CustomSlave-wrapped;SMPTE RP 2008;;
Leaf;06.0E.2B.34.04.01.01.0A;0D.01.03.01.02.10.66.7F;0A;MXF-GC  AVC Byte Stream With VideoStream-6 SID CustomUnconstrained-wrapped;Identifier for a MXF-GC  AVC Byte Stream With VideoStream-6 SID CustomUnconstrained-wrapped;SMPTE RP 2008;;
Node;06.0E.2B.34.04.01.01.0A;0D.01.03.01.02.10.67.00;0A;MXF-GC  AVC Byte Stream With VideoStream-7 SID;Identifier for a MXF-GC  AVC Byte Stream With VideoStream-7 ;;;
Leaf;06.0E.2B.34.04.01.01.0A;0D.01.03.01.02.10.67.01;0A;MXF-GC  AVC Byte Stream With VideoStream-7 SID Frame-wrapped;Identifier for a MXF-GC  AVC Byte Stream With VideoStream-7 SID Frame-wrapped;SMPTE RP 2008;;
Leaf;06.0E.2B.34.04.01.01.0A;0D.01.03.01.02.10.67.02;0A;MXF-GC  AVC Byte Stream With VideoStream-7 SID Clip-wrapped;Identifier for a MXF-GC  AVC Byte Stream With VideoStream-7 SID Clip-wrapped;SMPTE RP 2008;;
Leaf;06.0E.2B.34.04.01.01.0A;0D.01.03.01.02.10.67.03;0A;MXF-GC  AVC Byte Stream With VideoStream-7 SID CustomStripe-wrapped;Identifier for a MXF-GC  AVC Byte Stream With VideoStream-7 SID CustomStripe-wrapped;SMPTE RP 2008;;
Leaf;06.0E.2B.34.04.01.01.0A;0D.01.03.01.02.10.67.05;0A;MXF-GC  AVC Byte Stream With VideoStream-7 SID CustomFixedAudioSize-wrapped;Identifier for a MXF-GC  AVC Byte Stream With VideoStream-7 SID CustomFixedAudioSize-wrapped;SMPTE RP 2008;;
Leaf;06.0E.2B.34.04.01.01.0A;0D.01.03.01.02.10.67.06;0A;MXF-GC  AVC Byte Stream With VideoStream-7 SID CustomSplice-wrapped;Identifier for a MXF-GC  AVC Byte Stream With VideoStream-7 SID CustomSplice-wrapped;SMPTE RP 2008;;
Leaf;06.0E.2B.34.04.01.01.0A;0D.01.03.01.02.10.67.07;0A;MXF-GC  AVC Byte Stream With VideoStream-7 SID CustomClosedGOP-wrapped;Identifier for a MXF-GC  AVC Byte Stream With VideoStream-7 SID CustomClosedGOP-wrapped;SMPTE RP 2008;;
Leaf;06.0E.2B.34.04.01.01.0A;0D.01.03.01.02.10.67.08;0A;MXF-GC  AVC Byte Stream With VideoStream-7 SID CustomSlave-wrapped;Identifier for a MXF-GC  AVC Byte Stream With VideoStream-7 SID CustomSlave-wrapped;SMPTE RP 2008;;
Leaf;06.0E.2B.34.04.01.01.0A;0D.01.03.01.02.10.67.7F;0A;MXF-GC  AVC Byte Stream With VideoStream-7 SID CustomUnconstrained-wrapped;Identifier for a MXF-GC  AVC Byte Stream With VideoStream-7 SID CustomUnconstrained-wrapped;SMPTE RP 2008;;
Node;06.0E.2B.34.04.01.01.0A;0D.01.03.01.02.10.68.00;0A;MXF-GC  AVC Byte Stream With VideoStream-8 SID;Identifier for a MXF-GC  AVC Byte Stream With VideoStream-8 ;;;
Leaf;06.0E.2B.34.04.01.01.0A;0D.01.03.01.02.10.68.01;0A;MXF-GC  AVC Byte Stream With VideoStream-8 SID Frame-wrapped;Identifier for a MXF-GC  AVC Byte Stream With VideoStream-8 SID Frame-wrapped;SMPTE RP 2008;;
Leaf;06.0E.2B.34.04.01.01.0A;0D.01.03.01.02.10.68.02;0A;MXF-GC  AVC Byte Stream With VideoStream-8 SID Clip-wrapped;Identifier for a MXF-GC  AVC Byte Stream With VideoStream-8 SID Clip-wrapped;SMPTE RP 2008;;
Leaf;06.0E.2B.34.04.01.01.0A;0D.01.03.01.02.10.68.03;0A;MXF-GC  AVC Byte Stream With VideoStream-8 SID CustomStripe-wrapped;Identifier for a MXF-GC  AVC Byte Stream With VideoStream-8 SID CustomStripe-wrapped;SMPTE RP 2008;;
Leaf;06.0E.2B.34.04.01.01.0A;0D.01.03.01.02.10.68.05;0A;MXF-GC  AVC Byte Stream With VideoStream-8 SID CustomFixedAudioSize-wrapped;Identifier for a MXF-GC  AVC Byte Stream With VideoStream-8 SID CustomFixedAudioSize-wrapped;SMPTE RP 2008;;
Leaf;06.0E.2B.34.04.01.01.0A;0D.01.03.01.02.10.68.06;0A;MXF-GC  AVC Byte Stream With VideoStream-8 SID CustomSplice-wrapped;Identifier for a MXF-GC  AVC Byte Stream With VideoStream-8 SID CustomSplice-wrapped;SMPTE RP 2008;;
